Date;Text;Location;Number_Follower;User_Name;Friends_count
2019-08-07-13:52:03;横と後ろ刈り上げたら #人造人間16号 みたい！らしい… #ドラゴンボール ． #surfing #pic #EARTH #diet #training #photo #trip #surftrip #cosmetic… https://t.co/kNdI4kkLqi;;219;AHNLsurf;10
2019-08-07-13:52:23;Pra quem pensa em meditar, mas não sabe por onde começar ou até mesmo pra quem já está mais avançado na meditação r… https://t.co/utk3uiOcFW;;52;exu_dotrance;137
